Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
13972	11.8178	37696	0.148741	0.000424082	8.64706	1.45521	0.861656	0.0309615	0.782475	0.149941	10.5294	3.33762	0.000375094
13973	10.6459	17	0.1448	0.000294443	1	0	0.349206	0	1	0	1	0	0.1875
13974	13.9639	2914	0.253296	0.000617188	4.29412	1.15999	0.663866	0.0801082	0.952731	0.0942675	3.58824	1.50245	-0.105572
13975	10.8372	17	0.231692	0.000159129	1	0	0	0	0	0	0	0	0
13976	12.7568	46	0.170066	0.000368255	1.23529	0.562296	0.0571117	0.148502	1	0	1.33333	0.57735	0.121127
13977	11.2137	13	0.141096	0.000387511	1	0	0	0	0	0	0	0	0
13978	9.29248	810	0.297451	0.00094268	2.94118	0.966345	0.406941	0.237535	0.977778	0.0860663	2.33333	0.9759	0.0305434
13979	11.3416	264	0.232601	0.000241163	1.58824	0.618347	0.161687	0.178578	0.933333	0.2	1.44444	1.01379	-0.041041
13980	12.2524	4730	0.137124	0.000340895	3.94118	1.02899	0.606287	0.143203	0.95	0.0935414	3.17647	1.07444	0.0452368
13981	8.25207	1623	0.193168	0.000144341	1.94118	0.966345	0.222845	0.230693	1	0	1.6	0.699206	-0.0384895
13982	14.6111	18748	0.161196	0.000173354	6.52941	1.87475	0.754124	0.0960907	0.898969	0.117902	6.29412	1.96102	0.00856898
13983	11.5377	52	0.145167	0.000684465	1.17647	0.392953	0.0333022	0.103234	1	0	1	0	-0.27451
13984	11.0756	205	0.208776	0.000519711	1.64706	0.606339	0.115935	0.151125	0.95	0.158114	1.3	0.674949	-0.0153417
13985	9.86107	40	0.227539	0.000902606	1.52941	0.514496	0.189542	0.210484	1	0	1	0	0.0714286
13986	14.3477	148	0.269722	0.000240749	1.41176	0.5073	0.11718	0.189465	0.952381	0.125988	1.14286	0.377964	0.180822
13987	14.4523	8676	0.121947	0.000813537	8.23529	1.98524	0.839869	0.0601897	0.807634	0.195671	10.1765	4.97789	0.0305593
13988	11.4357	30065	0.131724	0.000429127	9.41176	1.87279	0.864924	0.0487938	0.820431	0.0986712	10.6471	2.89269	-0.0310513
13989	9.96977	6999	0.269357	0.00023452	4.70588	1.15999	0.662932	0.114443	0.879925	0.162937	4.52941	1.62472	0.0707513
13990	11.3207	14	0.127623	0.000152318	1	0	0	0	0	0	0	0	0
13991	14.0427	2031	0.129374	0.000211356	2.70588	0.848875	0.373171	0.201329	0.985294	0.0606339	1.76471	0.903425	-0.00216544
13992	10.9775	17048	0.165255	0.000129949	5.05882	1.29762	0.700591	0.119945	0.890909	0.171971	4.94118	2.07577	0.0605293
13993	13.9432	1026	0.240809	0.000277053	2.64706	0.931476	0.417834	0.207892	0.986667	0.0516398	1.93333	0.883715	0.046332
13994	12.0185	8341	0.127803	0.00047334	6.52941	1.12459	0.779178	0.0682668	0.842915	0.163713	7.17647	2.8774	-0.00311139
13995	11.691	20836	0.175892	0.000811141	10.2941	2.02376	0.886088	0.0289267	0.703869	0.195866	15.4118	7.42512	-0.030126
13996	12.4434	38178	0.272046	0.000230371	7.35294	1.86886	0.816527	0.0715689	0.823841	0.11804	8.05882	2.46147	-0.0142574
13997	12.7745	866	0.128468	0.000888054	3.41176	1.06412	0.577653	0.157851	1	0	2.41176	1.06412	0.048869
13998	13.3858	1899	0.180149	0.000349857	3.41176	0.87026	0.578898	0.128767	0.898039	0.131878	2.94118	1.34493	0.0809908
13999	12.1014	3167	0.21175	0.000315888	3.82353	1.38	0.580766	0.195683	0.939076	0.114846	3.23529	2.01648	0.0466667
14000	12.6554	13212	0.293935	0.000891785	8.58824	1.37199	0.860255	0.0467498	0.735086	0.167953	11.8235	5.98159	0.024024
14001	12.5915	2942	0.152179	0.000990853	5.88235	1.90008	0.750078	0.0859438	0.902604	0.128236	5.64706	2.28968	0.0320637
14002	12.4693	26239	0.227098	0.000911532	10.6471	1.53872	0.890134	0.0313176	0.660447	0.182221	16.5882	6.27554	-0.000726216
14003	9.29132	2748	0.166972	0.000546762	2.47059	0.624264	0.333022	0.198547	0.914706	0.139677	1.76471	0.83137	0.0164888
14004	11.7504	792	0.175135	0.000674036	3.11765	0.99262	0.446779	0.188481	0.9625	0.0806226	2.4375	1.09354	-0.0162866
14005	13.3581	24	0.16225	0.000488661	1.23529	0.437237	0.0582011	0.13364	1	0	1	0	-0.314607
14006	11.4928	613	0.188232	0.000133187	1.88235	0.99262	0.195923	0.236825	1	0	1.66667	0.707107	0.102712
14007	8.69058	40	0.132299	0.000107186	1	0	0	0	0	0	0	0	0
14008	14.9169	64	0.22821	0.000474375	1	0	0.518519	0	1	0	1	0	-0.397849
14009	10.5214	12261	0.226793	0.000479562	6.82353	1.23669	0.782602	0.0739277	0.80667	0.203704	7.94118	2.56102	-0.00413052
14010	10.6815	7375	0.214554	0.000341555	5.23529	1.30045	0.694055	0.0958604	0.929412	0.117042	4.76471	1.75105	0.0325581
14011	9.07274	24	0.278194	0.000962993	1	0	0	0	0	0	0	0	0
14012	8.34418	1160	0.138075	0.000697251	3.94118	1.02899	0.53906	0.183673	0.942647	0.133395	3.29412	1.40378	-0.0381267
14013	8.69641	5369	0.293119	0.000543725	4.35294	0.996317	0.595082	0.121274	0.907003	0.140548	4	1.76777	-0.0100516
14014	8.10453	1508	0.158472	0.00065856	3.23529	0.970143	0.532057	0.161554	0.984375	0.0625	2.4375	0.813941	-0.0194529
14015	14.3827	5094	0.275657	0.000166492	3.11765	0.92752	0.477902	0.192525	0.955882	0.0982382	2.29412	0.985184	-0.048103
14016	13.3391	20	0.283504	0.00085832	1.17647	0.392953	0.062714	0.143187	1	0	1	0	0.133333
14017	12.866	15	0.255769	0.000383765	1	0	0.42328	0	1	0	1	0	0.670886
14018	12.48	2130	0.137248	0.000935925	3.29412	0.771744	0.550576	0.136657	0.956863	0.122341	2.47059	0.799816	-0.0791875
14019	12.7586	461	0.226383	0.000995507	2.64706	0.785905	0.459384	0.160645	0.980392	0.0808452	1.70588	0.771744	0.0316233
14020	12.1437	824	0.232354	0.000157384	1.35294	0.701888	0.0798319	0.176767	1	0	1.5	0.57735	0.162978
14021	14.0617	234	0.113594	0.000782847	2.11765	0.781213	0.270775	0.210816	1	0	1.46154	0.518875	0.0714286
14022	12.3231	19	0.268093	0.000659244	1	0	0	0	0	0	0	0	0
14023	9.90198	17801	0.110503	0.000620383	8.29412	1.26317	0.837535	0.0489691	0.817381	0.168722	9.64706	3.20041	0.0121504
14024	10.4514	332	0.280386	0.000380982	1.70588	0.587868	0.10582	0.123785	1	0	1.09091	0.301511	-0.0336391
14025	8.43192	11	0.291744	0.000818932	1.11765	0.332106	0.015873	0.0501164	1	0	1	0	-0.0612245
14026	11.8049	142	0.134524	0.000696313	1.70588	0.848875	0.18145	0.206792	1	0	1.33333	0.707107	-0.0920465
14027	10.9656	2988	0.239684	0.000557825	3.52941	0.874475	0.552754	0.153924	0.930392	0.134917	2.82353	0.882843	0.0280374
