Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
19665	8.10852	12	0.226299	0.000296078	1	0	0.474603	0	1	0	1	0	0.184932
19666	9.66404	19932	0.200663	0.000620853	9.82353	1.94407	0.8662	0.0346979	0.821836	0.11824	11.2941	3.331	-0.0230957
19667	14.5002	20	0.163908	0.000456437	1	0	0	0	0	0	0	0	0
19668	9.27824	6272	0.126254	0.000829679	7.76471	1.88843	0.817647	0.0597374	0.795727	0.124132	9	2.87228	-0.0444915
19669	8.04512	1513	0.276669	0.000310116	3	0.790569	0.430252	0.169625	0.97549	0.0707396	2.11765	0.99262	-0.00268097
19670	12.771	639	0.233441	0.000501765	2.35294	0.785905	0.339683	0.164558	1	0	1.53333	0.63994	0.0488839
19671	10.3682	23	0.121898	0.000448059	1	0	0	0	0	0	0	0	0
19672	13.9607	97	0.136753	0.000507277	1.29412	0.587868	0.0736695	0.152323	1	0	1.25	0.5	-0.158585
19673	8.89351	2398	0.186875	0.00016629	2.35294	0.606339	0.337068	0.172027	0.976471	0.0970143	1.47059	0.874475	-0.0185449
19674	10.5796	351	0.233438	0.000727492	2.41176	1.06412	0.269001	0.234265	0.969231	0.0751068	2	1.08012	-0.021094
19675	10.1487	871	0.253379	0.000416528	2.94118	0.966345	0.396359	0.203613	0.945833	0.0986013	2.3125	1.13835	0.044805
19676	14.3117	23	0.280273	0.000801298	1.11765	0.332106	0.0289449	0.0817085	1	0	1	0	-0.133333
19677	10.3779	31	0.237015	0.000542888	1.23529	0.437237	0.0946779	0.178457	1	0	1	0	-0.0365854
19678	10.4196	44017	0.187427	0.000631196	9.58824	1.69775	0.865826	0.0374832	0.775316	0.193867	12.4118	5.20887	-0.00799467
19679	14.0476	140	0.295702	0.000363121	1.29412	0.469668	0.0718021	0.141729	1	0	1	0	0.138667
19680	11.18	59	0.171914	0.000162954	1	0	0	0	0	0	0	0	0
19681	8.15558	195	0.293074	0.000470846	1.76471	0.752447	0.171148	0.203592	0.975	0.0790569	1.4	0.699206	-0.0912162
19682	13.9106	21686	0.228567	0.000372361	9.82353	2.2977	0.859664	0.0690341	0.878388	0.154513	10.7059	3.98065	-0.0232714
19683	14.6644	1979	0.114932	0.000189094	2.17647	0.808957	0.256863	0.192745	0.964286	0.133631	1.57143	0.755929	-0.0577211
